Name of image: image_0.149_1.JPG, Result: False
Name of image: image_0.149_2.JPG, Result: False
Name of image: image_0.149_3.JPG, Result: False
Name of image: image_0.149_4.JPG, Result: False
Name of image: image_0.149_5.JPG, Result: False
Name of image: image_0.249_1.JPG, Result: True
Name of image: image_0.249_2.JPG, Result: False
Name of image: image_0.249_3.JPG, Result: False
Name of image: image_0.249_4.JPG, Result: False
Name of image: image_0.249_5.JPG, Result: False
Name of image: image_0.349_1.JPG, Result: True
Name of image: image_0.349_2.JPG, Result: True
Name of image: image_0.349_3.JPG, Result: False
Name of image: image_0.349_4.JPG, Result: False
Name of image: image_0.349_5.JPG, Result: True
Name of image: image_0.449_1.JPG, Result: True
Name of image: image_0.449_2.JPG, Result: True
Name of image: image_0.449_3.JPG, Result: False
Name of image: image_0.449_4.JPG, Result: True
Name of image: image_0.449_5.JPG, Result: False
Name of image: image_0.549_1.JPG, Result: True
Name of image: image_0.549_2.JPG, Result: True
Name of image: image_0.549_3.JPG, Result: True
Name of image: image_0.549_4.JPG, Result: True
Name of image: image_0.549_5.JPG, Result: True
Name of image: image_0.649_1.jpg, Result: True
Name of image: image_0.649_2.jpg, Result: True
Name of image: image_0.649_3.jpg, Result: True
Name of image: image_0.649_4.jpg, Result: True
Name of image: image_0.649_5.jpg, Result: True
Name of image: image_0.749_1.JPG, Result: True
Name of image: image_0.749_2.JPG, Result: True
Name of image: image_0.749_3.JPG, Result: True
Name of image: image_0.749_4.JPG, Result: True
Name of image: image_0.749_5.JPG, Result: True
Name of image: image_0.849_1.JPG, Result: False
Name of image: image_0.849_2.JPG, Result: True
Name of image: image_0.849_3.JPG, Result: True
Name of image: image_0.849_4.JPG, Result: True
Name of image: image_0.849_5.JPG, Result: True
Name of image: image_0.950_1.JPG, Result: False
Name of image: image_0.950_2.JPG, Result: False
Name of image: image_0.950_3.JPG, Result: True
Name of image: image_0.950_4.JPG, Result: True
Name of image: image_0.950_5.JPG, Result: False
Name of image: image_1.049_1.JPG, Result: False
Name of image: image_1.049_2.JPG, Result: False
Name of image: image_1.049_3.JPG, Result: False
Name of image: image_1.049_4.JPG, Result: False
Name of image: image_1.049_5.JPG, Result: False
