found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,89.1421568627451,4.977322999636332,13,3.85444399026724,111,False
True,True,94.54656862745098,5.266687877972921,11,3.60919206792658,89,False
True,True,93.1781045751634,2.9804879426956177,6,4.179687420527141,55,False
True,True,95.08986928104575,3.557139603296916,7,4.120248828615461,65,False
True,True,92.97385620915033,5.45995835463206,15,3.600232966740926,134,False
True,True,93.77450980392157,3.701191016038259,9,3.806125190522936,68,False
True,True,88.68872549019608,7.007255657513936,19,3.850405216217041,167,False
True,True,93.8766339869281,3.409016255537669,7,4.053570747375488,59,False
True,True,92.93300653594771,3.3538435737291974,7,4.054963214056833,63,False
True,True,85.99264705882354,6.138596721490225,16,3.721462830901146,135,False
True,True,91.61356209150327,5.083248865604401,12,3.9308366775512695,106,False
True,True,92.45915032679738,3.7993791421254475,8,4.117196023464203,77,False
True,True,91.80964052287581,3.6490423401196797,9,3.953435844845242,63,False
False,False,446.2785947712418,18.008868376413982,11,4.497943813150579,105,True
True,True,91.1642156862745,6.5108164628346765,14,4.132734962872097,127,False
True,True,91.17238562091504,4.947357026735942,11,4.183844631368464,94,False
True,True,91.1437908496732,3.8054878314336142,8,4.091924488544464,70,False
False,True,89.97140522875817,18.001265581448873,48,4.207693045337995,417,False
True,True,90.52287581699346,5.47734976609548,14,3.8985014983585904,122,False
