found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,89.1421568627451,4.97732299963633,13,3.85444399026724,111,False
True,True,94.546568627451,5.26668787797292,11,3.60919206792658,89,False
True,True,93.1781045751634,2.98048794269562,6,4.17968742052714,55,False
True,True,95.0898692810458,3.55713960329692,7,4.12024882861546,65,False
True,True,92.9738562091503,5.45995835463206,15,3.60023296674093,134,False
True,True,93.7745098039216,3.70119101603826,9,3.80612519052294,68,False
True,True,88.6887254901961,7.00725565751394,19,3.85040521621704,167,False
True,True,93.8766339869281,3.40901625553767,7,4.05357074737549,59,False
True,True,92.9330065359477,3.3538435737292,7,4.05496321405683,63,False
True,True,85.9926470588235,6.13859672149022,16,3.72146283090115,135,False
True,True,91.6135620915033,5.0832488656044,12,3.93083667755127,106,False
True,True,92.4591503267974,3.79937914212545,8,4.1171960234642,77,False
True,True,91.8096405228758,3.64904234011968,9,3.95343584484524,63,False
True,True,91.1642156862745,6.51081646283468,14,4.1327349628721,127,False
True,True,91.172385620915,4.94735702673594,11,4.18384463136846,94,False
True,True,91.1437908496732,3.80548783143361,8,4.09192448854446,70,False
False,True,89.9714052287582,18.0012655814489,48,4.20769304533799,417,False
True,True,90.5228758169935,5.47734976609548,14,3.89850149835859,122,False
True,True,90.8088235294118,4.94458272059759,11,4.25946608456698,92,False
True,True,91.8790849673202,4.44025134642919,10,4.17531900405884,74,False
True,True,90.6699346405229,8.90186576445897,15,4.04898400306702,118,False
True,True,104.677287581699,6.40558989445368,17,3.92906445615432,133,False
True,True,93.0269607843137,5.58498927354813,14,3.5852119071143,109,False
True,True,91.9730392156863,6.02613741954168,16,3.53108896315098,128,False
True,True,92.3039215686275,5.54791520833969,14,4.37699932711465,119,False
True,True,93.0065359477124,3.1412654598554,7,3.5269341809409,70,False
True,True,88.0351307189543,6.60571369330088,16,4.19118066132069,160,False
True,True,95.3962418300654,5.49635094404221,16,4.22779063880444,99,False
