found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,99.8440235556263,3.52349064747492,6,5.48760962486267,58,False
True,True,100.846729269457,4.82825949986776,9,5.5073311858707,83,False
True,True,96.9727837020531,3.25706339279811,6,5.59513970216115,55,False
True,True,99.8631227120802,5.1487713098526,11,5.93412945487283,99,False
True,True,98.9845615151998,7.70438000758489,19,4.98774386707105,153,False
True,True,102.708897023715,3.83335332870483,7,5.87349847384862,70,False
True,True,99.6975966894795,15.2434063315392,39,5.56077086008512,324,False
True,True,100.9326754735,7.03852921326955,15,5.96643280982971,141,False
True,True,101.171414929174,4.09125878810883,8,5.52045571804047,70,False
True,True,100.541142766195,12.5305403590202,30,5.693630250295,271,False
True,True,99.0991564539233,2.90378298362096,6,5.58733185132345,52,False
True,True,99.3092471749164,5.16181064844132,11,5.19292478127913,91,False
True,True,99.592551328983,6.93354045947393,15,5.75335261027018,116,False
True,True,99.5352538596212,4.26215871969859,9,5.58738901880052,84,False
True,True,99.3760942225052,5.36375351746877,12,5.29677321513494,111,False
True,True,96.9600509310839,3.19377286831538,6,5.82408626874288,46,False
True,True,100.050931083877,5.18657098213832,9,5.55305552482605,87,False
True,True,100.197357950024,4.68089849948883,9,5.16003947787815,78,False
True,True,100.047747891135,9.66635094483693,24,5.62176717321078,199,False
True,True,103.265955753621,6.87871769269307,5,6.08157305717468,47,False
True,True,100.155976444374,5.05296343962351,11,5.22454820979725,96,False
True,True,98.9877447079421,3.14788074096044,5,5.68970637321472,48,False
True,True,99.175553079739,4.9537375330925,11,5.6111141985113,97,False
True,True,99.0736909119847,4.38325262467066,9,5.53164166874356,71,False
False,False,92.4080853095655,18.0021383921305,2,3.88489758968353,5,False
True,True,103.425115390737,2.70576442480087,4,5.88142257928848,38,False
True,True,103.409199427025,4.0275075952212,8,6.02254322171211,75,False
True,True,101.808053477638,5.17106564839681,10,5.7280576467514,90,False
True,True,99.166003501512,4.9336919426918,11,5.75034052675421,101,False
True,True,100.700302403311,2.66524682839712,5,5.51429905891419,36,False
True,True,98.1792137513927,4.79659376541774,10,5.45057208538055,85,False
,,,5.84742752031613,11.0322580645161,5.55077993820417,96.0322580645161,
,,,3.56111270599958,7.75664820640007,0.401663713358782,65.8232400048128,
