found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,87.5,6.08731112082799,11,16.2446490634571,55,False
True,True,90.3635620915033,6.58493382136027,15,9.26593230565389,83,False
True,True,89.9754901960784,5.14330086708069,12,9.92984741926193,63,False
True,True,91.1356209150327,5.01491900285085,12,9.44075338045756,66,False
True,True,96.2990196078431,4.28990811506907,9,9.62416225009494,50,False
True,True,91.9812091503268,5.21359721024831,13,8.39000593698942,74,False
True,True,88.8398692810458,5.41122443675995,11,8.93084948713129,63,False
False,False,32.859477124183,10.0029062509537,4,7.07445502281189,10,False
True,True,91.9158496732026,4.14720655679703,9,9.97846410009596,44,False
True,True,90.7230392156863,8.11009552081426,19,9.24349021911621,113,False
True,True,88.9950980392157,5.21854790846507,13,9.40914324613718,75,False
True,True,91.1151960784314,5.22985604604085,12,9.40497434139252,58,False
True,True,92.1936274509804,3.53775941133499,7,9.666743516922,46,False
True,True,93.8562091503268,4.4050329486529,9,9.60505178239611,42,False
True,True,91.7197712418301,3.27188526789347,6,9.40401387214661,38,False
True,True,91.1519607843137,4.0484437306722,8,9.24131107330322,44,False
True,True,89.4158496732026,6.86361349026362,17,9.96239531741423,95,False
True,True,90.437091503268,5.06402199665705,11,9.24704243920066,48,False
True,True,92.7246732026144,5.99238057931264,14,9.60960624899183,78,False
True,True,89.8815359477124,5.83942977587382,14,9.42124327591487,92,False
,,,5.47381870289644,11.3,9.65470671494447,61.85,
