found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,89.1952614379085,6.694249184926351,11,14.31231986392628,100,False
True,True,89.44444444444444,6.448327771822611,11,13.817624959078701,72,False
True,True,88.61111111111111,6.731774512926737,11,14.850442106073553,92,False
True,True,89.82843137254902,4.846976431210836,8,15.347212135791779,52,False
True,True,90.22467320261438,5.646631753444671,8,14.41160038113594,73,False
True,True,91.91176470588235,4.53408073981603,7,14.095484563282557,52,False
True,True,90.40849673202615,4.832208418846131,7,15.088756084442139,58,False
True,True,91.22140522875817,5.999651698271434,10,14.514694380760194,69,False
True,True,89.04820261437908,9.9553209622701,11,15.86820405179804,77,False
True,True,90.85375816993464,4.778500167528788,7,13.606846741267614,63,False
True,True,92.74918300653596,3.492312216758728,5,15.09302797317505,32,False
True,True,90.16748366013073,6.533039697011312,11,14.647718863053756,86,False
True,True,90.20833333333333,5.1635538816452025,8,14.562656313180923,73,False
True,True,92.76143790849673,3.71934761206309,5,14.926019048690796,44,False
True,True,91.67892156862744,4.577821095784505,7,14.164856229509626,66,False
