found_all_pumps,map_closed,coverage_of_room,time_taken,times_trained,avg_training_time,actions_activated,possible_crash
True,True,93.9705882352941,2.99656738042831,5,6.23009395599365,42,False
True,True,90.608660130719,4.92587480942408,11,6.15523008866744,80,False
True,True,90.9150326797386,3.81858445008596,9,5.84980779223972,65,False
True,True,90.077614379085,4.75538462003072,10,6.4957049369812,93,False
True,True,93.4395424836601,3.53014075358709,7,6.01335096359253,56,False
True,True,95.1593137254902,3.39163786172867,6,6.43664769331614,50,False
True,True,90.2205882352941,5.86889007091522,13,5.9629188317519,119,False
True,True,92.2385620915033,5.27433303197225,12,6.2920910914739,106,False
True,True,95.984477124183,4.41814946333567,9,6.45760281880697,73,False
True,True,94.6609477124183,4.41038386424383,9,6.29114937782288,72,False
,,,4.33899463057518,9.1,6.21845975506463,75.6,
