?, ?, ?, -, +, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?
?, ?, ?, -, -, +, +, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, -, -, -, -, -, -, -, -, -, -, -, ?, ?, ?, ?, ?
?, ?, ?, -, -, +, +, +, +, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, -, -, -, -, -, -, -, -, -, -, +, -, -, -, -, -, -, -, -, -, ?, ?
?, ?, ?, -, -, +, +, +, +, +, +, +, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, -, -, -, -, -, -, -, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, +, +, -, -, -, -, -, -, ?
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, -, -, -, -, -, -, -, -, -, -, -, -, -, ?, ?, ?, -, -, -, -, -, +, +, +, +, +, +, -, -, -, +, -, -, -, +, -, -, -, -, -, -, ?
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, -, -, -, -, -, -, -, -, -, -, -, ?, ?, ?, ?, ?, ?, -, -, +, +, +, +, +, +, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, ?
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, +, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, +, +, +, +, +, +, -, +, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, ?
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, -, -, -, -, -, -, -, -, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, -, -, -, -, -, -
?, ?, ?, -, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, -, +, +, -, -, -
?, ?, -, -, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, +, -, +, +, -, -, -
